latitude,longitude,nasa_solar_irradiance_allsky,nasa_solar_irradiance_clearsky,nasa_clearness_index,nasa_longwave_radiation,nasa_uv_index,nasa_temperature_2m,nasa_dewpoint_2m,nasa_earth_skin_temperature,nasa_relative_humidity,nasa_specific_humidity,nasa_precipitation,nasa_wind_speed_10m,nasa_wind_direction_10m,nasa_surface_pressure,nasa_cloud_amount,temperature_2m_mean,dewpoint_2m_mean,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_mean,surface_pressure_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,temperature_2m_max,temperature_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,wind_speed_10m_max,cloud_cover_low_mean,cloud_cover_mid_mean,cloud_cover_high_mean,temp_range_daily,humidity_range,cloud_stratification,wind_speed_80m_mean,wind_speed_80m_max,wind_speed_120m_mean,wind_speed_120m_max,wind_speed_180m_mean,wind_speed_180m_max,wind_shear_coefficient,wind_power_density_80m,wind_power_density_120m,wind_power_density_180m,solar_utilization_ratio,solar_wind_complementarity,growing_degree_days,frost_risk,heat_stress,soil_temp_proxy,soil_air_temp_diff,heavy_rain_flag,extreme_rain_flag,temperature_2m_mean_interannual_std,precipitation_sum_interannual_std,wind_speed_10m_mean_interannual_std,cloud_cover_mean_interannual_std
8.5,77.0,11.850644984669296,23.747739816031537,0.5308782303985984,35.279463425317566,2.0345258431887867,26.971131187034604,23.026544021024968,27.581449846692948,80.26060118265441,17.791538545773104,2.5736279018834867,4.087809899255365,211.196835304424,99.9676741130092,68.18215067893124,26.971131187034604,23.026544021024968,80.26060118265441,2.5736279018834867,4.087809899255365,211.196835304424,99.9676741130092,870.0,68.18215067893124,18.88315922032413,26.971131187034604,26.971131187034604,80.26060118265441,80.26060118265441,4.087809899255365,68.18215067893124,68.18215067893124,68.18215067893124,0.0,0.0,0.0,5.469193502941194,5.469193502941194,5.788633657936996,5.788633657936996,6.12673141072466,6.12673141072466,0.1399999999999999,2.1476744887209325,2.546400947309119,3.0191529575408254,0.4990220154201455,-0.6601550861216872,16.971131187034604,0,0,27.581449846692948,0.6103186596583434,0,0,0.315913337403392,136.5486547938133,0.1934798481996632,2.606493187082609
8.5,77.5,11.850644984669296,23.747739816031537,0.5308782303985984,35.279463425317566,2.0345258431887867,25.84569316688568,21.452149583880857,26.526901007446344,79.520402978537,16.521256022777045,1.9351062198861144,4.096193604905826,187.046123521682,98.03220543144984,68.18215067893124,25.84569316688568,21.452149583880857,79.520402978537,1.9351062198861144,4.096193604905826,187.046123521682,98.03220543144984,870.0,68.18215067893124,18.88315922032413,25.84569316688568,25.84569316688568,79.520402978537,79.520402978537,4.096193604905826,68.18215067893124,68.18215067893124,68.18215067893124,0.0,0.0,0.0,5.480410293742161,5.480410293742161,5.800505589827795,5.800505589827795,6.139296748647126,6.139296748647126,0.1399999999999999,2.1609156305018997,2.562100372967703,3.0377670597146764,0.4990220154201455,-0.6658588398500538,15.845693166885678,0,0,26.526901007446344,0.681207840560667,0,0,0.4646584886659223,109.93247260932502,0.1708930112275771,2.606493187082609
8.5,78.0,11.846871441086291,23.564394437144102,0.5651773981603153,36.02691305300044,2.17944699956198,27.9768276390714,23.252372974156813,28.58566688567674,76.58446671046867,17.85833552343408,1.6845313184406483,5.3164991239597015,172.0754270696452,100.78271243977224,60.132985107314944,27.9768276390714,23.252372974156813,76.58446671046867,1.6845313184406483,5.3164991239597015,172.0754270696452,100.78271243977224,870.0,60.132985107314944,20.12136771791502,27.9768276390714,27.9768276390714,76.58446671046867,76.58446671046867,5.3164991239597015,60.132985107314944,60.132985107314944,60.132985107314944,0.0,0.0,0.0,7.11309067294191,7.11309067294191,7.528546221523583,7.528546221523583,7.968267356020515,7.968267356020515,0.1399999999999999,4.724693336682993,5.601856171155533,6.641868651806393,0.5027445739243056,-3.979314725635474,17.9768276390714,0,0,28.58566688567674,0.608839246605342,0,0,0.4246373408915943,153.26640515999154,0.170449679396715,2.688661959746984
9.0,77.0,11.870919842312746,23.881056723609287,0.5307687253613665,34.36200503723171,2.028500328515112,25.83078186596584,21.97776828734122,26.251254927726677,81.50181340341656,16.986519929916774,2.848413272010512,2.6450394218134035,211.27239378011387,98.58935501533072,67.31306833114323,25.83078186596584,21.97776828734122,81.50181340341656,2.848413272010512,2.6450394218134035,211.27239378011387,98.58935501533072,870.0,67.31306833114323,18.81797634691196,25.83078186596584,25.83078186596584,81.50181340341656,81.50181340341656,2.6450394218134035,67.31306833114323,67.31306833114323,67.31306833114323,0.0,0.0,0.0,3.5388711259396786,3.5388711259396786,3.745566599481145,3.745566599481145,3.964334572207272,3.964334572207272,0.1399999999999999,0.5818256090180238,0.6898444292899153,0.8179174811942429,0.4970851993570669,0.2933317300130447,15.830781865965836,0,0,26.251254927726677,0.4204730617608376,0,0,0.3392979127624005,153.7204457958233,0.1225914702484683,2.890185552287707
9.0,77.5,11.870919842312746,23.881056723609287,0.5307687253613665,34.36200503723171,2.028500328515112,25.871690757774857,21.10282742006132,26.451344721857204,78.32318769163382,16.17981712658782,2.110708497590889,3.575839903635567,180.3462768287341,98.13396627244852,67.31306833114323,25.871690757774857,21.10282742006132,78.32318769163382,2.110708497590889,3.575839903635567,180.3462768287341,98.13396627244852,870.0,67.31306833114323,18.81797634691196,25.871690757774857,25.871690757774857,78.32318769163382,78.32318769163382,3.575839903635567,67.31306833114323,67.31306833114323,67.31306833114323,0.0,0.0,0.0,4.784214738577741,4.784214738577741,5.0636472173888505,5.0636472173888505,5.359400558552751,5.359400558552751,0.1399999999999999,1.4375752418164454,1.7044682407945642,2.020911253456509,0.4970851993570669,-0.284594200533843,15.871690757774855,0,0,26.451344721857204,0.5796539640823468,0,0,0.5322209634311142,114.25119556194296,0.1570108708435197,2.890185552287707
9.0,78.0,11.870579281646956,23.81648379325449,0.5611804643013578,35.8114082347788,2.11476620674551,27.92546758650898,22.236386333771357,28.72949956197985,73.90104577310557,16.889472185720543,1.7412954445904512,4.511323915900132,167.3395641699518,100.50269272886553,62.70102606219886,27.92546758650898,22.236386333771357,73.90104577310557,1.7412954445904512,4.511323915900132,167.3395641699518,100.50269272886553,870.0,62.70102606219886,19.93404621112571,27.92546758650898,27.92546758650898,73.90104577310557,73.90104577310557,4.511323915900132,62.70102606219886,62.70102606219886,62.70102606219886,0.0,0.0,0.0,6.035824575648371,6.035824575648371,6.388360052210996,6.388360052210996,6.7614861308823455,6.7614861308823455,0.1399999999999999,2.886744970157028,3.4226835422464497,4.058121777805493,0.4984186324351138,-2.284162610849864,17.92546758650898,0,0,28.72949956197985,0.8040319754708705,0,0,0.5582222996390469,149.10788933632367,0.1898908113171094,4.086723606506387
9.5,76.5,11.779426193604904,23.63236968900569,0.5347579938677179,35.993781208935616,2.039975908891809,27.867647831800262,23.42736749890495,29.028060665790623,77.57029237844941,18.06995181778362,3.269247700394218,3.796311870346036,255.11822163819537,100.84207621550593,64.76694699956198,27.867647831800262,23.42736749890495,77.57029237844941,3.269247700394218,3.796311870346036,255.11822163819537,100.84207621550593,870.0,64.76694699956198,18.868915900131405,27.867647831800262,27.867647831800262,77.57029237844941,77.57029237844941,3.796311870346036,64.76694699956198,64.76694699956198,64.76694699956198,0.0,0.0,0.0,5.079190257897563,5.079190257897563,5.3758514241853215,5.3758514241853215,5.689839731831167,5.689839731831167,0.1399999999999999,1.720212241702087,2.0395782064961336,2.41823605225477,0.4984445634787509,-0.4530198871487737,17.867647831800262,0,0,29.028060665790623,1.160412833990364,0,0,0.3244339657915995,180.8980003786664,0.2314776976321196,2.744407708910042
9.5,77.0,11.870919842312746,23.881056723609287,0.5307687253613665,34.36200503723171,2.028500328515112,24.5867564607972,20.726510074463423,24.78406592203241,81.86298182216382,16.15131406044678,2.996826544021025,1.7845619798510732,219.07498904949628,96.26851511169514,67.31306833114323,24.5867564607972,20.726510074463423,81.86298182216382,2.996826544021025,1.7845619798510732,219.07498904949628,96.26851511169514,870.0,67.31306833114323,18.81797634691196,24.5867564607972,24.5867564607972,81.86298182216382,81.86298182216382,1.7845619798510732,67.31306833114323,67.31306833114323,67.31306833114323,0.0,0.0,0.0,2.3876146460664094,2.3876146460664094,2.5270684781898365,2.5270684781898365,2.674667415020989,2.674667415020989,0.1399999999999999,0.1786863153941141,0.2118603192338201,0.2511932420054519,0.4970851993570669,0.8275946962151794,14.586756460797195,0,0,24.78406592203241,0.1973094612352177,0,0,0.3366404324042976,172.27012930085513,0.0942970873859329,2.890185552287707
9.5,77.5,11.870919842312746,23.881056723609287,0.5307687253613665,34.36200503723171,2.028500328515112,24.9352847130968,19.772374069207185,25.32060994305738,76.78124616732369,15.276476127901883,2.228091327201051,2.509935392028033,174.97893123083662,95.99751314060448,67.31306833114323,24.9352847130968,19.772374069207185,76.78124616732369,2.228091327201051,2.509935392028033,174.97893123083662,95.99751314060448,870.0,67.31306833114323,18.81797634691196,24.9352847130968,24.9352847130968,76.78124616732369,76.78124616732369,2.509935392028033,67.31306833114323,67.31306833114323,67.31306833114323,0.0,0.0,0.0,3.358111721727188,3.358111721727188,3.554249548685564,3.554249548685564,3.7618432324920152,3.7618432324920152,0.1399999999999999,0.4971460724637633,0.5894437152935005,0.6988768749135198,0.4970851993570669,0.3772166480585237,14.935284713096802,0,0,25.32060994305738,0.3853252299605785,0,0,0.5311572562893093,124.66362388844632,0.1029636171726307,2.890185552287707
9.5,78.0,11.870579281646956,23.81648379325449,0.5611804643013578,35.8114082347788,2.11476620674551,27.813359614542268,21.28876916338152,28.699703241349106,71.50615199299169,16.073515111695137,1.8114257555847568,3.6177255803766974,159.28896189224704,99.96365965834428,62.70102606219886,27.813359614542268,21.28876916338152,71.50615199299169,1.8114257555847568,3.6177255803766974,159.28896189224704,99.96365965834428,870.0,62.70102606219886,19.93404621112571,27.813359614542268,27.813359614542268,71.50615199299169,71.50615199299169,3.6177255803766974,62.70102606219886,62.70102606219886,62.70102606219886,0.0,0.0,0.0,4.840254739640563,4.840254739640563,5.12296035673355,5.12296035673355,5.422178010947514,5.422178010947514,0.1399999999999999,1.4886864910789064,1.7650685478818813,2.0927623091843586,0.4984186324351138,-0.8197820287958785,17.813359614542268,0,0,28.699703241349106,0.8863436268068341,0,0,0.5999992263697236,146.3232154991135,0.1598212450860232,4.086723606506387
