nasa_solar_irradiance_allsky,nasa_solar_irradiance_clearsky,nasa_clearness_index,nasa_longwave_radiation,nasa_uv_index,nasa_temperature_2m,nasa_dewpoint_2m,nasa_earth_skin_temperature,nasa_relative_humidity,nasa_specific_humidity,nasa_precipitation,nasa_wind_speed_10m,nasa_wind_direction_10m,nasa_surface_pressure,nasa_cloud_amount,date,latitude,longitude,temperature_2m_mean,dewpoint_2m_mean,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_mean,surface_pressure_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,temperature_2m_max,temperature_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,wind_speed_10m_max,cloud_cover_low_mean,cloud_cover_mid_mean,cloud_cover_high_mean,temp_range_daily,humidity_range,cloud_stratification,wind_speed_80m_mean,wind_speed_80m_max,wind_speed_120m_mean,wind_speed_120m_max,wind_speed_180m_mean,wind_speed_180m_max,wind_shear_coefficient,wind_power_density_80m,wind_power_density_120m,wind_power_density_180m,solar_utilization_ratio,solar_wind_complementarity,growing_degree_days,frost_risk,heat_stress,soil_temp_proxy,soil_air_temp_diff,heavy_rain_flag,extreme_rain_flag
12.0,20.96,0.59,33.95,1.88,25.44,20.03,26.45,73.66,14.71,0.0,4.95,62.7,99.99,58.3,2000-01-01,8.5,77.0,25.44,20.03,73.66,0.0,4.95,62.7,99.99,870.0,58.3,17.48,25.44,25.44,73.66,73.66,4.95,58.3,58.3,58.3,0.0,0.0,0.0,6.622741396191255,6.622741396191255,7.009557027592621,7.009557027592621,7.418965468186641,7.418965468186641,0.1399999999999999,3.8133966619405233,4.52137273289209,5.3607880852702445,0.5725190839694656,0.1496034245004514,15.44,0,0,26.45,1.009999999999998,0,0
12.0,20.98,0.59,33.43,1.88,25.46,18.94,26.4,69.4,13.76,0.0,3.88,42.1,99.98,37.7,2000-01-02,8.5,77.0,25.46,18.94,69.4,0.0,3.88,42.1,99.98,870.0,37.7,18.56,25.46,25.46,69.4,69.4,3.88,37.7,37.7,37.7,0.0,0.0,0.0,5.191158912570114,5.191158912570114,5.494359851931185,5.494359851931185,5.815269902336195,5.815269902336195,0.1399999999999999,1.8365026614284257,2.1774585214643865,2.5817145339773604,0.5719733079122974,-0.0400522778771408,15.46,0,0,26.4,0.9399999999999976,0,0
11.18,22.68,0.59,34.95,1.88,25.99,19.51,26.87,68.59,14.25,0.0,3.0,45.5,99.93,89.1,2000-01-03,8.5,77.0,25.99,19.51,68.59,0.0,3.0,45.5,99.93,870.0,89.1,11.18,25.99,25.99,68.59,68.59,3.0,89.1,89.1,89.1,0.0,0.0,0.0,4.013782664358336,4.013782664358336,4.248216380359164,4.248216380359164,4.496342707991904,4.496342707991904,0.1399999999999999,0.8489070677998773,1.0065108902561903,1.1933746468030713,0.4929453262786596,-0.1015297832969861,15.989999999999998,0,0,26.87,0.8800000000000026,0,0
12.0,21.23,0.59,34.11,1.88,25.92,20.27,26.9,71.64,14.94,0.0,3.95,42.0,99.9,58.3,2000-01-04,8.5,77.0,25.92,20.27,71.64,0.0,3.95,42.0,99.9,870.0,58.3,19.65,25.92,25.92,71.64,71.64,3.95,58.3,58.3,58.3,0.0,0.0,0.0,5.284813841405143,5.284813841405143,5.593484900806233,5.593484900806233,5.920184565522673,5.920184565522673,0.1399999999999999,1.937705054634184,2.297449642689917,2.723982604097868,0.5652378709373528,-0.1564579137083952,15.920000000000002,0,0,26.9,0.9799999999999968,0,0
12.0,21.81,0.59,33.97,1.88,26.01,21.17,26.83,75.4,15.8,0.0,4.03,51.8,99.84,56.9,2000-01-05,8.5,77.0,26.01,21.17,75.4,0.0,4.03,51.8,99.84,870.0,56.9,17.89,26.01,26.01,75.4,75.4,4.03,56.9,56.9,56.9,0.0,0.0,0.0,5.391848045788032,5.391848045788032,5.706770670949144,5.706770670949144,6.04008703773579,6.04008703773579,0.1399999999999999,2.0578396160610004,2.4398877833990333,2.8928650945960706,0.5502063273727649,0.0280193628669337,16.01,0,0,26.83,0.8199999999999967,0,0
11.75,21.6,0.59,35.2,1.88,26.27,21.77,26.96,76.89,16.39,0.02,3.86,46.5,99.85,75.5,2000-01-06,8.5,77.0,26.27,21.77,76.89,0.02,3.86,46.5,99.85,870.0,75.5,11.75,26.27,26.27,76.89,76.89,3.86,75.5,75.5,75.5,0.0,0.0,0.0,5.164400361474392,5.164400361474392,5.466038409395457,5.466038409395457,5.785294284282916,5.785294284282916,0.1399999999999999,1.8082492735159053,2.143959751458517,2.541996550584339,0.5439814814814814,0.5891568512976979,16.27,0,0,26.96,0.6900000000000013,0,0
12.0,19.84,0.59,34.93,1.88,26.31,21.76,26.91,76.82,16.39,0.28,5.51,50.9,99.83,65.2,2000-01-07,8.5,77.0,26.31,21.76,76.82,0.28,5.51,50.9,99.83,870.0,65.2,13.8,26.31,26.31,76.82,76.82,5.51,65.2,65.2,65.2,0.0,0.0,0.0,7.371980826871477,7.371980826871477,7.802557418592998,7.802557418592998,8.258282773678463,8.258282773678463,0.1399999999999999,5.259581411659328,6.236048879583738,7.393802393162097,0.6048387096774194,1.289064965141507,16.31,0,0,26.91,0.6000000000000014,0,0
12.0,20.43,0.59,35.61,1.88,26.3,21.18,27.02,73.99,15.83,0.38,5.67,56.2,99.8,94.4,2000-01-08,8.5,77.0,26.3,21.18,73.99,0.38,5.67,56.2,99.8,870.0,94.4,12.74,26.3,26.3,73.99,73.99,5.67,94.4,94.4,94.4,0.0,0.0,0.0,7.586049235637255,7.586049235637255,8.02912895887882,8.02912895887882,8.498087718104697,8.498087718104697,0.1399999999999999,5.731199970718207,6.795225771549021,8.05679325834752,0.5873715124816447,1.7113857657895868,16.3,0,0,27.02,0.7199999999999989,0,0
12.0,20.45,0.59,35.26,1.88,26.12,21.67,26.74,77.08,16.3,0.28,5.69,55.6,99.82,86.3,2000-01-09,8.5,77.0,26.12,21.67,77.08,0.28,5.69,55.6,99.82,870.0,86.3,12.95,26.12,26.12,77.08,77.08,5.69,86.3,86.3,86.3,0.0,0.0,0.0,7.6128077867329775,7.6128077867329775,8.057450401414549,8.057450401414549,8.528063336157977,8.528063336157977,0.1399999999999999,5.792061765565074,6.867386861540498,8.142351413867912,0.58679706601467,1.6576846353808423,16.12,0,0,26.74,0.6199999999999974,0,0
12.0,19.34,0.59,34.76,1.88,26.8,22.21,27.29,76.62,16.87,0.57,5.41,66.9,99.8,60.5,2000-01-10,8.5,77.0,26.8,22.21,76.62,0.57,5.41,66.9,99.8,870.0,60.5,13.79,26.8,26.8,76.62,76.62,5.41,60.5,60.5,60.5,0.0,0.0,0.0,7.238188071392866,7.238188071392866,7.66095020591436,7.66095020591436,8.108404683412067,8.108404683412067,0.1399999999999999,4.978381574270668,5.902642892750001,6.998497925389802,0.6204756980351603,1.2380339990653937,16.8,0,0,27.29,0.4899999999999984,0,0
