nasa_solar_irradiance_allsky,nasa_solar_irradiance_clearsky,nasa_clearness_index,nasa_longwave_radiation,nasa_uv_index,nasa_temperature_2m,nasa_dewpoint_2m,nasa_earth_skin_temperature,nasa_relative_humidity,nasa_specific_humidity,nasa_precipitation,nasa_wind_speed_10m,nasa_wind_direction_10m,nasa_surface_pressure,nasa_cloud_amount,date,latitude,longitude,temperature_2m_mean,dewpoint_2m_mean,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_mean,surface_pressure_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,temperature_2m_max,temperature_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,wind_speed_10m_max,cloud_cover_low_mean,cloud_cover_mid_mean,cloud_cover_high_mean
17.48,20.96,,33.95,,25.44,20.03,26.45,73.66,14.71,0.0,4.95,62.7,99.99,58.3,2000-01-01,8.5,77.0,25.44,20.03,73.66,0.0,4.95,62.7,99.99,99.99,58.3,17.48,25.44,25.44,73.66,73.66,4.95,58.3,58.3,58.3
18.56,20.98,,33.43,,25.46,18.94,26.4,69.4,13.76,0.0,3.88,42.1,99.98,37.7,2000-01-02,8.5,77.0,25.46,18.94,69.4,0.0,3.88,42.1,99.98,99.98,37.7,18.56,25.46,25.46,69.4,69.4,3.88,37.7,37.7,37.7
11.18,22.68,,34.95,,25.99,19.51,26.87,68.59,14.25,0.0,3.0,45.5,99.93,89.1,2000-01-03,8.5,77.0,25.99,19.51,68.59,0.0,3.0,45.5,99.93,99.93,89.1,11.18,25.99,25.99,68.59,68.59,3.0,89.1,89.1,89.1
19.65,21.23,,34.11,,25.92,20.27,26.9,71.64,14.94,0.0,3.95,42.0,99.9,58.3,2000-01-04,8.5,77.0,25.92,20.27,71.64,0.0,3.95,42.0,99.9,99.9,58.3,19.65,25.92,25.92,71.64,71.64,3.95,58.3,58.3,58.3
17.89,21.81,,33.97,,26.01,21.17,26.83,75.4,15.8,0.0,4.03,51.8,99.84,56.9,2000-01-05,8.5,77.0,26.01,21.17,75.4,0.0,4.03,51.8,99.84,99.84,56.9,17.89,26.01,26.01,75.4,75.4,4.03,56.9,56.9,56.9
11.75,21.6,,35.2,,26.27,21.77,26.96,76.89,16.39,0.02,3.86,46.5,99.85,75.5,2000-01-06,8.5,77.0,26.27,21.77,76.89,0.02,3.86,46.5,99.85,99.85,75.5,11.75,26.27,26.27,76.89,76.89,3.86,75.5,75.5,75.5
13.8,19.84,,34.93,,26.31,21.76,26.91,76.82,16.39,0.28,5.51,50.9,99.83,65.2,2000-01-07,8.5,77.0,26.31,21.76,76.82,0.28,5.51,50.9,99.83,99.83,65.2,13.8,26.31,26.31,76.82,76.82,5.51,65.2,65.2,65.2
12.74,20.43,,35.61,,26.3,21.18,27.02,73.99,15.83,0.38,5.67,56.2,99.8,94.4,2000-01-08,8.5,77.0,26.3,21.18,73.99,0.38,5.67,56.2,99.8,99.8,94.4,12.74,26.3,26.3,73.99,73.99,5.67,94.4,94.4,94.4
12.95,20.45,,35.26,,26.12,21.67,26.74,77.08,16.3,0.28,5.69,55.6,99.82,86.3,2000-01-09,8.5,77.0,26.12,21.67,77.08,0.28,5.69,55.6,99.82,99.82,86.3,12.95,26.12,26.12,77.08,77.08,5.69,86.3,86.3,86.3
13.79,19.34,,34.76,,26.8,22.21,27.29,76.62,16.87,0.57,5.41,66.9,99.8,60.5,2000-01-10,8.5,77.0,26.8,22.21,76.62,0.57,5.41,66.9,99.8,99.8,60.5,13.79,26.8,26.8,76.62,76.62,5.41,60.5,60.5,60.5
