ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,TS,RH2M,QV2M,PRECTOTCORR,WS10M,WD10M,PS,CLOUD_AMT,date,latitude,longitude
17.48,20.96,,33.95,,25.44,20.03,26.45,73.66,14.71,0.0,4.95,62.7,99.99,58.3,2000-01-01,8.5,77.0
18.56,20.98,,33.43,,25.46,18.94,26.4,69.4,13.76,0.0,3.88,42.1,99.98,37.7,2000-01-02,8.5,77.0
11.18,22.68,,34.95,,25.99,19.51,26.87,68.59,14.25,0.0,3.0,45.5,99.93,89.1,2000-01-03,8.5,77.0
19.65,21.23,,34.11,,25.92,20.27,26.9,71.64,14.94,0.0,3.95,42.0,99.9,58.3,2000-01-04,8.5,77.0
17.89,21.81,,33.97,,26.01,21.17,26.83,75.4,15.8,0.0,4.03,51.8,99.84,56.9,2000-01-05,8.5,77.0
11.75,21.6,,35.2,,26.27,21.77,26.96,76.89,16.39,0.02,3.86,46.5,99.85,75.5,2000-01-06,8.5,77.0
13.8,19.84,,34.93,,26.31,21.76,26.91,76.82,16.39,0.28,5.51,50.9,99.83,65.2,2000-01-07,8.5,77.0
12.74,20.43,,35.61,,26.3,21.18,27.02,73.99,15.83,0.38,5.67,56.2,99.8,94.4,2000-01-08,8.5,77.0
12.95,20.45,,35.26,,26.12,21.67,26.74,77.08,16.3,0.28,5.69,55.6,99.82,86.3,2000-01-09,8.5,77.0
13.79,19.34,,34.76,,26.8,22.21,27.29,76.62,16.87,0.57,5.41,66.9,99.8,60.5,2000-01-10,8.5,77.0
